time_s,rep_event,assembly_event,rep_unpacked_products,rep_packaged_products,converted_packaged_products,unpacked_genome_after,packaged_genome_after,TX_L1_4,TL_L1_4,TX_L1_1,TL_L1_1,TX_L1_2,TL_L1_2,TX_L1_3,TL_L1_3,tx_total,tl_total
2469,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,0
2470,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,1,0
2494,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1
2496,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1
2501,0,0,0,0,0,6,0,0,1,1,0,0,0,0,0,1,1
2502,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1
2507,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1
2508,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,1
2514,0,0,0,0,0,6,0,0,1,0,1,0,0,0,0,0,2
2520,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1
2524,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1
2545,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,2
2553,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1
2559,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,1,0
2562,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,1,0
2567,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1
2571,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,1
2572,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1
2575,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,1
2577,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1
2580,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1
2588,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1
2598,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1
2602,0,0,0,0,0,6,0,0,1,0,1,0,0,0,0,0,2
2603,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1
2609,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1
2618,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1
2620,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,0
2627,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1
2630,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1
2636,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,0
2640,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1
2641,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1
2648,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1
2650,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,0
2659,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1
2660,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,0
2661,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,1,0
2662,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,1
2664,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1
2668,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,1,0
2670,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,1,0
2674,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,1,0
2680,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1
2688,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1
2695,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1
2697,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0
2702,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1
2703,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1
2704,0,0,0,0,0,6,0,0,1,0,0,0,0,1,0,1,1
2711,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1
2714,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1
2719,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1
2728,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1
2731,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1
2735,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,1,0
2741,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,0
2752,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1
2755,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,0
2756,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1
2758,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,0
2766,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,1,0
2775,0,0,0,0,0,6,0,0,1,0,0,1,0,0,0,1,1
2776,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1
2778,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1
2779,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1
2781,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,1
2792,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,1,0
2797,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,1,0
2798,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,1,0
2801,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,1
2813,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1
2819,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1
2823,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1
2833,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1
2837,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1
2838,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1
