time_s,source_key,value
342,TL_MpP1p05,2
342,TL_MpP1p11,2
343,TL_MpP1p02,1
343,TL_MpP1p04,1
343,TL_MpP1p07,1
343,TL_MpP1p11,1
344,TL_MpP1p02,1
344,TL_MpP1p05,1
344,TL_MpP1p07,1
345,TL_MpP1p07,1
346,TX_MpP1p03,1
346,TL_MpP1p03,1
346,TL_MpP1p05,1
348,TL_MpP1p02,1
348,TL_MpP1p05,1
348,TL_MpP1p08,1
348,TL_MpP1p09,1
349,TL_MpP1p04,2
349,TL_MpP1p05,1
349,TL_MpP1p06,1
349,TL_MpP1p11,2
350,TL_MpP1p04,2
350,TL_MpP1p05,1
351,TL_MpP1p04,2
351,TL_MpP1p07,1
351,TL_MpP1p08,1
352,TL_MpP1p05,1
353,TL_MpP1p04,2
353,TL_MpP1p11,2
354,TL_MpP1p03,1
354,TL_MpP1p04,1
355,TL_MpP1p05,1
355,TL_MpP1p07,1
356,TL_MpP1p08,2
357,TL_MpP1p02,1
357,TL_MpP1p06,1
357,TL_MpP1p10,1
358,TL_MpP1p03,1
358,TL_MpP1p04,2
358,TL_MpP1p06,1
359,TX_MpP1p02,1
359,TL_MpP1p03,1
359,TL_MpP1p04,1
359,TX_MpP1p05,1
359,TL_MpP1p09,1
359,TL_MpP1p11,1
360,TL_MpP1p02,1
360,TL_MpP1p04,1
360,TL_MpP1p07,1
361,TL_MpP1p08,1
361,TL_MpP1p09,1
361,TL_MpP1p11,1
362,TL_MpP1p10,1
363,TL_MpP1p02,1
363,TL_MpP1p03,1
364,TL_MpP1p04,1
364,TL_MpP1p05,1
364,TL_MpP1p06,2
364,TX_MpP1p08,1
364,TL_MpP1p08,1
364,TL_MpP1p11,1
365,TL_MpP1p03,1
365,TL_MpP1p05,2
366,TL_MpP1p04,1
366,TL_MpP1p09,1
367,TL_MpP1p04,1
367,TL_MpP1p07,1
368,TL_MpP1p04,2
368,TL_MpP1p08,1
368,TL_MpP1p11,1
369,TL_MpP1p03,1
370,TL_MpP1p02,1
370,TL_MpP1p04,1
370,TL_MpP1p07,1
370,TL_MpP1p09,1
371,TL_MpP1p03,1
371,TX_MpP1p05,1
371,TL_MpP1p05,1
371,TL_MpP1p06,1
372,TL_MpP1p05,1
372,TL_MpP1p11,2
373,TL_MpP1p01,1
374,TL_MpP1p02,1
374,TL_MpP1p05,3
374,TL_MpP1p06,1
375,TX_MpP1p02,1
375,TL_MpP1p03,1
375,TL_MpP1p06,1
375,TL_MpP1p08,1
375,TL_MpP1p09,1
376,TL_MpP1p05,1
376,TL_MpP1p07,2
376,TL_MpP1p09,1
376,TL_MpP1p10,1
376,TL_MpP1p11,1
377,TL_MpP1p01,1
377,TL_MpP1p05,1
377,TL_MpP1p06,1
377,TX_MpP1p07,1
377,TL_MpP1p07,1
377,TL_MpP1p08,1
378,TL_MpP1p05,1
378,TL_MpP1p06,1
378,TL_MpP1p08,1
378,TL_MpP1p11,2
379,TL_MpP1p04,1
380,TL_MpP1p03,1
380,TL_MpP1p04,3
381,TL_MpP1p02,2
381,TX_MpP1p08,1
381,TL_MpP1p08,1
382,TL_MpP1p05,2
382,TL_MpP1p06,1
382,TL_MpP1p11,1
383,TL_MpP1p05,1
383,TL_MpP1p07,1
383,TL_MpP1p08,1
384,TL_MpP1p05,1
384,TL_MpP1p08,1
385,TL_MpP1p04,1
385,TL_MpP1p05,1
386,TL_MpP1p02,1
386,TL_MpP1p04,1
386,TL_MpP1p05,1
386,TL_MpP1p11,1
387,TL_MpP1p07,1
388,TL_MpP1p07,1
389,TL_MpP1p04,1
389,TL_MpP1p06,1
389,TL_MpP1p11,1
390,TL_MpP1p08,1
390,TL_MpP1p11,1
391,TL_MpP1p04,2
392,TL_MpP1p01,1
392,TL_MpP1p05,1
393,TX_MpP1p01,1
393,TL_MpP1p04,1
393,TL_MpP1p05,1
394,TL_MpP1p02,1
394,TL_MpP1p05,1
394,TL_MpP1p07,1
395,TL_MpP1p07,1
396,TL_MpP1p02,1
396,TL_MpP1p04,1
396,TL_MpP1p05,1
396,TL_MpP1p09,1
397,TL_MpP1p02,1
397,TL_MpP1p03,1
397,TL_MpP1p04,1
397,TL_MpP1p11,1
398,TL_MpP1p06,1
399,TL_MpP1p02,1
399,TL_MpP1p04,1
399,TX_MpP1p06,1
399,TL_MpP1p08,2
400,TL_MpP1p04,1
400,TL_MpP1p05,1
400,TL_MpP1p08,1
401,TL_MpP1p06,1
401,TL_MpP1p09,1
401,TL_MpP1p11,1
402,TL_MpP1p03,1
402,TL_MpP1p05,1
402,TL_MpP1p06,1
402,TL_MpP1p10,1
403,TL_MpP1p04,2
403,TL_MpP1p05,1
404,TL_MpP1p02,1
404,TL_MpP1p06,1
404,TL_MpP1p09,1
405,TL_MpP1p05,3
405,TL_MpP1p06,1
405,TL_MpP1p07,1
406,TL_MpP1p01,1
406,TL_MpP1p02,1
406,TL_MpP1p05,1
406,TL_MpP1p08,1
406,TL_MpP1p11,1
407,TL_MpP1p04,1
407,TL_MpP1p05,2
407,TL_MpP1p07,1
408,TL_MpP1p05,1
408,TL_MpP1p11,1
409,TX_MpP1p03,1
409,TL_MpP1p04,1
411,TL_MpP1p02,1
411,TL_MpP1p05,2
411,TL_MpP1p06,1
411,TL_MpP1p07,1
412,TL_MpP1p02,1
412,TL_MpP1p05,1
412,TL_MpP1p08,1
412,TL_MpP1p11,1
413,TL_MpP1p04,1
413,TL_MpP1p05,2
413,TL_MpP1p11,2
414,TL_MpP1p03,1
414,TL_MpP1p04,1
414,TL_MpP1p06,1
416,TL_MpP1p02,1
416,TL_MpP1p05,2
416,TL_MpP1p10,1
417,TL_MpP1p02,1
417,TL_MpP1p05,1
417,TL_MpP1p09,1
417,TL_MpP1p11,1
419,TL_MpP1p05,1
419,TL_MpP1p07,1
420,TL_MpP1p04,1
421,TL_MpP1p02,1
421,TL_MpP1p03,1
422,TL_MpP1p06,1
422,TL_MpP1p07,1
422,TL_MpP1p08,1
423,TL_MpP1p03,1
423,TL_MpP1p04,1
423,TL_MpP1p05,1
423,TL_MpP1p06,1
423,TL_MpP1p09,1
423,TL_MpP1p11,2
424,TL_MpP1p04,1
424,TL_MpP1p11,2
425,TL_MpP1p04,2
425,TL_MpP1p05,1
425,TL_MpP1p08,1
426,TL_MpP1p02,1
426,TL_MpP1p03,1
426,TL_MpP1p04,1
426,TL_MpP1p05,1
426,TL_MpP1p07,1
427,TL_MpP1p02,1
427,TL_MpP1p07,1
427,TL_MpP1p10,1
427,TL_MpP1p11,2
428,TL_MpP1p04,1
428,TL_MpP1p09,2
429,TL_MpP1p01,1
429,TL_MpP1p07,1
430,TL_MpP1p02,1
430,TL_MpP1p04,1
430,TL_MpP1p06,1
430,TL_MpP1p08,1
431,TL_MpP1p04,1
431,TL_MpP1p05,1
431,TX_MpP1p08,1
432,TL_MpP1p05,1
432,TL_MpP1p08,1
433,TL_MpP1p04,2
433,TL_MpP1p08,1
434,TL_MpP1p02,1
434,TL_MpP1p03,1
434,TL_MpP1p09,1
435,TL_MpP1p02,1
435,TL_MpP1p04,1
435,TL_MpP1p11,1
436,TL_MpP1p02,1
436,TL_MpP1p04,1
436,TL_MpP1p05,1
436,TX_MpP1p07,1
436,TX_MpP1p09,1
437,TL_MpP1p05,1
437,TL_MpP1p07,1
438,TL_MpP1p01,1
438,TL_MpP1p06,1
439,TL_MpP1p02,2
439,TL_MpP1p04,1
439,TL_MpP1p06,3
439,TL_MpP1p08,1
439,TL_MpP1p11,1
440,TL_MpP1p03,1
440,TL_MpP1p07,1
440,TL_MpP1p08,1
441,TL_MpP1p02,1
441,TL_MpP1p04,1
441,TL_MpP1p05,2
442,TX_MpP1p01,1
442,TL_MpP1p07,1
442,TL_MpP1p08,2
442,TL_MpP1p09,1
442,TL_MpP1p10,1
443,TL_MpP1p05,1
443,TL_MpP1p07,1
444,TL_MpP1p02,2
444,TL_MpP1p04,1
444,TL_MpP1p08,1
444,TL_MpP1p10,1
445,TL_MpP1p04,1
445,TL_MpP1p05,1
445,TL_MpP1p11,1
446,TL_MpP1p02,2
446,TL_MpP1p06,1
446,TL_MpP1p11,1
447,TL_MpP1p05,1
447,TX_MpP1p10,1
448,TL_MpP1p08,1
448,TL_MpP1p09,1
448,TL_MpP1p11,1
449,TL_MpP1p02,1
449,TL_MpP1p07,1
449,TL_MpP1p10,1
450,TL_MpP1p03,1
450,TL_MpP1p05,1
450,TL_MpP1p07,1
451,TL_MpP1p05,1
451,TL_MpP1p08,1
452,TL_MpP1p04,1
452,TL_MpP1p05,1
453,TL_MpP1p11,1
455,TL_MpP1p02,2
455,TX_MpP1p04,1
455,TX_MpP1p05,1
455,TL_MpP1p05,1
455,TL_MpP1p06,1
455,TL_MpP1p07,1
455,TL_MpP1p11,1
456,TL_MpP1p02,1
456,TL_MpP1p07,2
456,TL_MpP1p08,1
457,TL_MpP1p03,1
458,TL_MpP1p04,1
458,TL_MpP1p06,1
458,TL_MpP1p09,1
458,TL_MpP1p10,1
459,TL_MpP1p04,1
459,TL_MpP1p08,2
459,TL_MpP1p09,1
459,TL_MpP1p10,1
460,TL_MpP1p02,1
460,TL_MpP1p05,1
460,TL_MpP1p07,2
460,TL_MpP1p09,1
460,TL_MpP1p11,1
462,TL_MpP1p01,1
462,TL_MpP1p05,1
462,TL_MpP1p06,1
463,TL_MpP1p04,2
463,TL_MpP1p06,1
464,TL_MpP1p01,1
464,TL_MpP1p02,2
464,TL_MpP1p05,1
464,TX_MpP1p06,1
465,TL_MpP1p02,1
465,TL_MpP1p06,1
465,TL_MpP1p08,1
466,TL_MpP1p04,2
467,TL_MpP1p01,1
467,TL_MpP1p04,1
467,TL_MpP1p07,1
467,TL_MpP1p10,1
468,TL_MpP1p04,1
468,TL_MpP1p06,1
468,TL_MpP1p08,1
468,TL_MpP1p11,1
469,TL_MpP1p04,1
