upstream_run_id,spatial_condition,object_id,anchor_definition,scheduled_time,accepted_birth_time,opening_time,event_resolution,first_anchor_outside_time,whole_body_exit_time,delta_s,post_open_s,delta_over_post_open,anchor_return_count,observation_end,censor_status
r12ce_g1_2500s,r2_s0,2,head/assembly anchor c; occupied zero-offset site,1239,1239,1301,exact CTMC event; checkpoint-identical replay,1310.354084461494,1310.3555146790136,0.001430217519555299,9.355514679013595,0.00015287427454564102,0,1480,observed
r12ce_g1_2500s,r2_s0,3,head/assembly anchor c; occupied zero-offset site,1294,1294,1301,exact CTMC event; checkpoint-identical replay,1301.0184171354379,1301.0318207165112,0.013403581073362147,0.03182071651121987,0.42122184987997024,2,1480,observed
r12ce_g1_2500s,r2_s0,4,head/assembly anchor c; occupied zero-offset site,1301,1301,1301,exact CTMC event; checkpoint-identical replay,1316.852981237582,1319.9703906572252,3.1174094196430815,18.970390657225153,0.16433027004932924,3,1480,observed
r12ce_g1_2500s,r2_s0,5,head/assembly anchor c; occupied zero-offset site,1303,1303,1301,exact CTMC event; checkpoint-identical replay,1316.1642840070158,1316.1924229633887,0.028138956372913526,13.192422963388708,0.002132963478430314,2,1480,observed
r12ce_g1_2500s,r2_s0,6,head/assembly anchor c; occupied zero-offset site,1304,1304,1301,exact CTMC event; checkpoint-identical replay,1308.2667140249978,1308.4368110611376,0.1700970361398504,4.436811061137632,0.03833767852540383,6,1480,observed
r12ce_g1_2500s,r2_s0,7,head/assembly anchor c; occupied zero-offset site,1307,1307,1301,exact CTMC event; checkpoint-identical replay,1311.1480003997642,1311.2084911854724,0.0604907857082253,4.20849118547244,0.01437350894711086,11,1480,observed
r12ce_g1_2500s,r2_s0,8,head/assembly anchor c; occupied zero-offset site,1312,1312,1301,exact CTMC event; checkpoint-identical replay,1317.5193552769977,1317.5355063959378,0.01615111894011534,5.535506395937773,0.002917731059251928,2,1480,observed
r12ce_g1_2500s,r2_s0,9,head/assembly anchor c; occupied zero-offset site,1320,1320,1301,exact CTMC event; checkpoint-identical replay,1320.2453492013688,1338.7167060116196,18.47135681025088,18.716706011619635,0.9868914326475804,15,1480,observed
r12ce_g1_2500s,r2_s0,10,head/assembly anchor c; occupied zero-offset site,1322,1322,1301,exact CTMC event; checkpoint-identical replay,1322.5679653986392,1322.5685936095192,0.0006282108799950947,0.5685936095192119,0.001104850405417489,0,1480,observed
r12ce_g1_2500s,r2_s0,11,head/assembly anchor c; occupied zero-offset site,1323,1323,1301,exact CTMC event; checkpoint-identical replay,1327.2495648113236,1327.2571007947195,0.007535983395882795,4.257100794719463,0.0017702149324795129,2,1480,observed
